1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2020-11-18 00:00:00|yes|NULL|NULL|Beam Width Calibration 1|NULL|Garrett|GaTech|Full|NULL|NULL|EOS Default|NULL|NULL|NULL
2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2020-02-07 00:00:00|no|NULL|NULL|Rook|NULL|Elliott|Max|Full|NULL|C:\Users\sa-saldana\Documents\Training\Customer Docs From Training\Build plate|Example Link|NULL|NULL|NULL
3|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2020-02-07 00:00:00|NULL|NULL|NULL|ISO Artifact Build|NULL|Elliott|Max|Full|NULL|C:\Users\sa-saldana\Documents\Training\Customer Docs From Training\Build plate|Example Link|NULL|NULL|NULL
4|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2020-02-07 00:00:00|NULL|NULL|NULL|Jaime Hexagons|NULL|Elliott|Max|RBV|NULL|C:\Users\sa-saldana\Documents\Training\Customer Docs From Training\Build plate|Example Link|NULL|NULL|NULL
5|13.75|-17.5|-40.91|120.0|180.0|23.41|NULL|NULL|NULL|NULL|NULL|2020-02-07 00:00:00|NULL|21174.5|10.0|Beam Width Calibration 2|Post Build: Seems to have used too much powder. Lots of powder in collector.|Elliott|PMRC|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B005|B005_01-B005_05|This build was designed to re-calibrate beam width, test the initial rapid-characterization CT artifact design at different settings, familiarize ourselves with the parameter editor, and print bottle openers.|NULL|NULL
6|34.0|17.94|NULL|120.0|160.0|17.94|NULL|NULL|NULL|NULL|NULL|2020-03-13 00:00:00|NULL|134006.0|19.8|CT Artifact01, Test supports, GT Logo|2/28: Did not start. PSW did not repspond. 3/13: Make sure everything is set before you run it. For example, issues were had when build plate was not preheated and we tried to start the build.|Elliott,Max|NULL|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B006|EOS_DirectPart|Test Supports, print GT logo demo lattice parts, build tensile samples for Amber to be trained with|NULL|NULL
7|NULL|17.94|NULL|120.0|160.0|17.94|NULL|NULL|NULL|NULL|NULL|2020-06-30 00:00:00|NULL|NULL|NULL|PM Test Build|NULL|Elliott,Max,Tech (Jeremy)|NULL|Full|NULL|NULL|EOS_DirectPart|Calibration artifact.|Difficulty starting. Flow rates were wrong.|NULL
8|6.3|45.0|15.0|NULL|NULL|30.0|1581.36|NULL|NULL|NULL|NULL|2020-07-07 00:00:00|yes|17403.0|13.75|Cubes, Tensile, CT Artifact|NULL|Elliott,Jaime|NULL|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B008|Example Link|Surface roughness cubes, support testing, tensile samples, CT artifact v2|CT Artifact 04: Merged Default Parameters. CT03: Default, CT02: 220W, CT01: 170W|NULL
9|19.5|50.01|-1.04|115.0|140.0|51.05|1585.5|NULL|NULL|NULL|NULL|2020-07-09 00:00:00|yes|45390.5|23.32|Lattices Test Build|Did not have enough powder. Built to 23.32mm instead of full 28.75mm|Elliott,Jaime|NULL|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B009|Default|Lattices of 2x2x2-5x5x5, 3mm tensile samples (5), surface roughness cubes|NULL|NULL
10|13.5|-124.01|NULL|110.0|150.0|124.01|1599.12|NULL|NULL|NULL|NULL|2020-07-20 00:00:00|yes|45979.03|18.75|20um Param Dev, Max Part, Single Strut  Testing| Post Build: Print turned out well. two of the 0.5mm struts broke and the third has a kink in it. Max's artifacts were angled instead of vertical and a few were catastrophically damaged to the point they didn't finish. CT artifacts all build although the high power ones have a burnt look to them. Lattices still have some issues but appear to be better. Still difficult to disconnect from the supports.|Elliott,Jaime|NULL|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B010|Default|Lattice build testing, Max's PhD artifact, single strut size test, CT artifacts for 20 um parameter exploration|Pre-Build: 0.11 HS is left grouping of CT articles, 0.09 HS is middle, 0.07 is right. Parameters in picture below. CT1 is bottom row of 0.11, CT2 is next row up, CT1.5 is bottom left, CT1.1 is right. Table should match physically to part layout.|NULL
11|NULL|NULL|NULL|NULL|NULL|0.0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|45979.03|10.0|50um Param Dev, Max Part|NULL|Elliott,Jaime|NULL|Full|NULL|C:\Users\sa-saldana\Documents\Builds\B011|Default|30 of Max's artifact, 27 parameter sets to develop 50um parameters|Pre-Build: 1-9, 10-18, 19-27 are 0.05, 0.08, 0.1 mm HS in order from bottom left corner to top right. Max's artifacts printed with same parameters as part 5. Postbuild: z|NULL
